,Año,Trimestre,Provincia,Accesos por cada 100 hab
104,2022,4,Formosa,10.03
105,2022,4,Jujuy,14.95
106,2022,4,La Pampa,31.23
107,2022,4,La Rioja,21.26
108,2022,4,Mendoza,14.33
109,2022,4,Misiones,14.39
110,2022,4,Neuquén,23.41
111,2022,4,Río Negro,21.04
112,2022,4,Salta,14.04
113,2022,4,San Juan,12.96
114,2022,4,San Luis,25.83
115,2022,4,Santa Cruz,12.95
116,2022,4,Santa Fe,24.65
117,2022,4,Santiago Del Estero,11.92
118,2022,4,Tierra Del Fuego,30.07
119,2022,4,Tucumán,15.12
120,2022,3,Buenos Aires,26.37
121,2022,3,Capital Federal,50.22
122,2022,3,Catamarca,16.62
123,2022,3,Chaco,11.72
124,2022,3,Chubut,25.86
125,2022,3,Córdoba,27.04
126,2022,3,Corrientes,12.69
127,2022,3,Entre Ríos,19.04
128,2022,3,Formosa,11.14
129,2022,3,Jujuy,15.06
130,2022,3,La Pampa,31.82
131,2022,3,La Rioja,21.47
132,2022,3,Mendoza,14.24
133,2022,3,Misiones,14.11
134,2022,3,Neuquén,23.92
135,2022,3,Río Negro,20.91
136,2022,3,Salta,13.99
137,2022,3,San Juan,12.94
138,2022,3,San Luis,23.39
139,2022,3,Santa Cruz,12.85
140,2022,3,Santa Fe,24.7
141,2022,3,Santiago Del Estero,11.91
142,2022,3,Tierra Del Fuego,29.5
143,2022,3,Tucumán,15.14
144,2022,2,Buenos Aires,26.12927127832741
145,2022,2,Capital Federal,49.873561256261084
146,2022,2,Catamarca,15.871790195247085
147,2022,2,Chaco,11.70254390369554
148,2022,2,Chubut,25.499919336270644
149,2022,2,Córdoba,26.781590841133493
150,2022,2,Corrientes,12.732146965383649
151,2022,2,Entre Ríos,19.10468595065942
152,2022,2,Formosa,11.049814591140093
153,2022,2,Jujuy,14.656913524540677
154,2022,2,La Pampa,30.632721559665786
155,2022,2,La Rioja,21.331409216914373
156,2022,2,Mendoza,13.782233784570575
157,2022,2,Misiones,13.89002818196789
158,2022,2,Neuquén,23.81745752817118
159,2022,2,Río Negro,20.867543527383393
160,2022,2,Salta,13.936010557448652
161,2022,2,San Juan,12.597912455631214
162,2022,2,San Luis,23.396972678771853
163,2022,2,Santa Cruz,12.83962283852644
164,2022,2,Santa Fe,24.495906799164608
165,2022,2,Santiago Del Estero,11.836737968128928
166,2022,2,Tierra Del Fuego,29.60495526496903
167,2022,2,Tucumán,14.6914572899128
168,2022,1,Buenos Aires,25.563030152028354
169,2022,1,Capital Federal,46.01434762144353
170,2022,1,Catamarca,14.805619574995312
171,2022,1,Chaco,11.775342040436145
172,2022,1,Chubut,26.988759663104396
173,2022,1,Córdoba,26.255262218351167
174,2022,1,Corrientes,12.545281287312793
175,2022,1,Entre Ríos,19.04540527092108
176,2022,1,Formosa,8.896427435598431
177,2022,1,Jujuy,14.847641828629394
178,2022,1,La Pampa,30.200415031402574
179,2022,1,La Rioja,20.96917417226944
180,2022,1,Mendoza,13.5994765497552
181,2022,1,Misiones,13.357539336702546
182,2022,1,Neuquén,22.07746042609429
183,2022,1,Río Negro,20.61822984084394
184,2022,1,Salta,13.588166053353753
185,2022,1,San Juan,11.092116468606637
186,2022,1,San Luis,23.101656231687382
187,2022,1,Santa Cruz,12.894297328809571
188,2022,1,Santa Fe,24.307396998934415
189,2022,1,Santiago Del Estero,11.706882132029497
190,2022,1,Tierra Del Fuego,29.13865104068589
191,2022,1,Tucumán,14.215533334298076
192,2021,4,Buenos Aires,25.36251411440295
193,2021,4,Capital Federal,45.848510714562856
194,2021,4,Catamarca,14.054223759225387
195,2021,4,Chaco,11.772399458164147
196,2021,4,Chubut,25.309325144656967
197,2021,4,Córdoba,25.873153715537683
198,2021,4,Corrientes,11.983198552620907
199,2021,4,Entre Ríos,18.88227767661483
200,2021,4,Formosa,8.768865242200624
201,2021,4,Jujuy,14.555241944242491
202,2021,4,La Pampa,29.509892061530994
203,2021,4,La Rioja,20.742382050283958
204,2021,4,Mendoza,13.25625900699059
205,2021,4,Misiones,13.363319043268442
206,2021,4,Neuquén,21.817563119077384
207,2021,4,Río Negro,20.205613568445425
208,2021,4,Salta,13.759337691497715
209,2021,4,San Juan,10.084133235970333
210,2021,4,San Luis,22.97895624197615
211,2021,4,Santa Cruz,12.808821353847454
212,2021,4,Santa Fe,24.23965799751964
213,2021,4,Santiago Del Estero,11.675440470480114
214,2021,4,Tierra Del Fuego,29.171007839182543
215,2021,4,Tucumán,13.852880446424063
216,2021,3,Buenos Aires,23.96989190399953
217,2021,3,Capital Federal,45.90038346526859
218,2021,3,Catamarca,13.407472376612356
219,2021,3,Chaco,11.48213456009956
220,2021,3,Chubut,24.738375502880167
221,2021,3,Córdoba,24.885957628675673
222,2021,3,Corrientes,11.8228555121759
223,2021,3,Entre Ríos,18.590565595869126
224,2021,3,Formosa,8.643582187295351
225,2021,3,Jujuy,14.240381868423986
226,2021,3,La Pampa,27.767891191051227
227,2021,3,La Rioja,20.565964530219404
228,2021,3,Mendoza,12.710228113581037
229,2021,3,Misiones,12.411772581325813
230,2021,3,Neuquén,20.74816202113861
231,2021,3,Río Negro,19.05925062746504
232,2021,3,Salta,13.55352602212216
233,2021,3,San Juan,10.050236642022515
234,2021,3,San Luis,22.857408818789526
235,2021,3,Santa Cruz,13.016254371883871
236,2021,3,Santa Fe,23.58815244581783
237,2021,3,Santiago Del Estero,11.660736690891678
238,2021,3,Tierra Del Fuego,28.150170112829368
239,2021,3,Tucumán,13.533446775711843
240,2021,2,Buenos Aires,23.35247372787298
241,2021,2,Capital Federal,45.48719048129489
242,2021,2,Catamarca,13.313748671467298
243,2021,2,Chaco,11.580041340539402
244,2021,2,Chubut,22.159781771420207
245,2021,2,Córdoba,24.528406291253745
246,2021,2,Corrientes,11.465064580129559
247,2021,2,Entre Ríos,18.435680632917915
248,2021,2,Formosa,8.456293049570467
249,2021,2,Jujuy,14.366784069218694
250,2021,2,La Pampa,27.043558440191944
251,2021,2,La Rioja,20.49158509575061
252,2021,2,Mendoza,11.433847066800618
253,2021,2,Misiones,12.26014659485293
254,2021,2,Neuquén,20.58023612564588
255,2021,2,Río Negro,19.052051860128394
256,2021,2,Salta,13.303441391384512
257,2021,2,San Juan,10.00671906693712
258,2021,2,San Luis,23.89055527674358
259,2021,2,Santa Cruz,13.096756425784957
260,2021,2,Santa Fe,23.60478745301367
261,2021,2,Santiago Del Estero,11.554388875216853
262,2021,2,Tierra Del Fuego,20.126647945777083
263,2021,2,Tucumán,13.606163819728007
264,2021,1,Buenos Aires,22.998353975762015
265,2021,1,Capital Federal,44.82699016464177
266,2021,1,Catamarca,12.438278918256517
267,2021,1,Chaco,11.528896477487843
268,2021,1,Chubut,21.147838315076264
269,2021,1,Córdoba,24.061371645661506
